start_time_ns,duration,label,metadata
2039481928118796,141230,TX,"size_bytes=419|tx=1cb4e689a4dc2f8c37b6488c1216dfe3ff0d514bfcda46e7a5933fb9e5ac2402"
2039481928265236,14068961,TX,"size_bytes=50107|tx=69eedec6e6303458331d81dab849a651b872a17129d6742462f89a9f7ee9396e"
2039481942350917,145320,TX,"size_bytes=372|tx=d9d8b1abe4457a39e2dd672786f6931a39fd580640531fbfa4b82eb421ab8a8c"
2039481942502847,137350,TX,"size_bytes=374|tx=5212d20d4cc87959a74e10e97a531e62c309aab45f93fb55e4369da7c537fa2e"
2039481942646267,76150,TX,"size_bytes=223|tx=6ef3eb400e503bdfce527eb9e26954ee91be8cfe12a104fb5c79a79942153311"
2039483227101213,27280,INV,"size_bytes=217"
2039483234370404,166440,TX,"size_bytes=223|tx=28b791225b4408bf4a89dc4677ff720f26de207afb2aa6486710904a4f333253"
2039483234544614,86600,TX,"size_bytes=222|tx=980601b99a57e60b3c8f7ec215cda6ae830eeb68ddcc1c6ebd8c14c1729ba16f"
2039483234634814,78370,TX,"size_bytes=191|tx=641a5ee06c2c14b2dd34bae526460b07d01003cdb8b8a457a65113e33ff67419"
2039483234718994,154030,TX,"size_bytes=339|tx=903a06d8cacc724b355712109832f9c7c7c7ecd1877ab6e221530a8c2c1ec53b"
2039483234877234,92050,TX,"size_bytes=205|tx=6a60a071e87c037ca135b3580b95bdc418e827dace6c83faf65363067cd87c3b"
2039483234975904,140780,TX,"size_bytes=331|tx=52e54f5b2338ad803d6efefbaa3f7a1183649c07d927dcb758708419fe2cc687"
2039484044426774,47530,INV,"size_bytes=649"
2039484141349371,156450,TX,"size_bytes=261|tx=1fd40abe00e44cb6edc587320d7e71e45731adbc3c13e027e8ee6df1cb10e4ca"
2039484283052992,292230,VERSION,""
2039484283361922,52740,VERACK,""
2039484379982410,13010,GH,""
2039484473898696,2202661,ADDRV2,""
2039484476121367,14530,HEADERS,"size_bytes=82"
2039485812344276,29990,INV,"size_bytes=253"
2039486025739362,215940,TX,"size_bytes=350|tx=6feecfbeba29df603028fd35bb0366542922cd52f2ea10b79651813fe69d4f22"
2039486025966542,109450,TX,"size_bytes=222|tx=d8aec256ba6517d2381cd18b44b7269c0a338bb210f00046804c8701ebcc6542"
2039486026086212,95080,TX,"size_bytes=313|tx=75125f567bf36e80e42708bf13c107ce6dbb0a8fd2cd30cd2d5cdbafc924dddc"
2039486026188002,85700,TX,"size_bytes=191|tx=2c691ba6adef26a9cca191ce5c63c7fc94730a399d4cb61039164c50768150bb"
2039486029120442,117930,TX,"size_bytes=226|tx=2aca8675e41a45082056e573714f421e7916ff23a663104f1e58358e7dfdf365"
2039486029245042,244980,TX,"size_bytes=727|tx=ceade1c2250083d0726afbabbad1f3f2804f56d4447a4ba3bf8f76bcd834648d"
2039489524103693,6760,ADDRV2,""
2039490032784441,48320,INV,"size_bytes=541"
2039490129602938,179260,TX,"size_bytes=275|tx=7e8e02693c68bb2f96bd027b12544d5c5b1f5e85b0a83ddacf1d65690f6a3b0d"
2039490129787858,83680,TX,"size_bytes=223|tx=6fdfb454c444afb97a7e0bf18d286e190f282b1853d6dd2dbe071a5b8ee062d4"
2039490129878708,87900,TX,"size_bytes=222|tx=5996c57fa11f33947a94a7d7260ea7427805cfa09b162589b0176cbb22adf9bd"
2039490129970638,142060,TX,"size_bytes=222|tx=ec83e08f784c78c71af1ea0aae846d4a624fabd13e32f277a9cdac44a1f1a715"
